#OTU ID	SRR11796889	SRR11796890	SRR11796891	SRR11796892	SRR11796893	SRR11796894	SRR11796895	SRR11796896	SRR11796897	SRR11796898	SRR11796899	SRR11796900	SRR11796901	SRR11796902	SRR11796903	SRR11796904	SRR11796905	SRR11796906	SRR11796907	SRR11796908	SRR11796909	SRR11796910	SRR11796911	SRR11796912	SRR11796913	SRR11796914	SRR11796915	SRR11796916	SRR11796917	SRR11796918	SRR11796919	SRR11796920	SRR11796921	SRR11796922	SRR11796923	SRR11796924	SRR11796925	SRR11796926	SRR11796927	SRR11796928	SRR11796929	SRR11796930	SRR11796931	SRR11796932	SRR11796933	SRR11796934	SRR11796935	SRR11796936	SRR11796937	SRR11796938
Otu25	1792	448	469	2	53	57	34	299	110	1	4	10	633	4	680	339	0	0	0	2	84	63	0	2	335	527	33	68	355	2	0	93	7	1	11	667	191	30	1	1	0	8	6	6	19	8	1315	572	1	0
Otu63	86	25	0	0	0	0	0	0	0	2	0	7	6	4	1	0	0	0	0	0	0	0	0	3	1295	0	0	252	2	2	0	0	0	1	1	1	0	0	0	0	0	0	1	1	57	38	0	0	0	0
Otu57	395	159	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	61	41	2	2	249	1338	0	72	789	0	1	0	1	1	1	1615	690	0	0	0	0	0	2	0	1	0	0	0	0	0
Otu241	33	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	143	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu9	5449	2274	128	5	16	553	97	915	258	8	3	674	8	172	3	147	0	0	0	1	2	0	0	2	13	800	7	2	865	0	3	254	29	1	1	20	9	7	5	269	1	1347	1	0	100	53	525	168	1	0
Otu60	279	170	100	3	11	8	6	374	109	1	3	19	118	7	49	213	0	0	0	0	12	9	0	0	44	0	304	11	0	0	0	146	23	20	29	513	58	329	0	13	0	46	0	0	84	89	9	0	3	1
Otu4	4428	1749	433	15	55	7	3	7930	2408	5	21	6117	9229	1147	4305	808	15	6	14	18	5667	2121	29	15	2166	8065	72	571	4653	30	30	5276	1491	14	3	10807	4306	43	4	2096	5	6063	14	3	4565	3951	6581	4111	22264	3
Otu19	1771	934	8	0	2	2	1	548	123	0	0	887	25	171	35	0	0	4	0	1	300	91	0	1	3	1760	1	0	933	2	1	2	0	0	0	1	1	0	0	1	0	0	0	0	175	124	8	0	0	0
Otu76	646	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1310	247	0	0	0	0	6	0	0	15	0	0	0	0	0
Otu7	3302	1449	340	0	47	821	891	0	0	0	6	809	2171	85	1214	0	2	1	3	1	2444	750	2	2	218	1333	2	55	633	7	0	227	34	0	2	356	114	0	1	1	0	8	11	6	189	136	19	0	321	2
Otu39	1413	576	0	0	0	0	0	398	71	0	0	42	605	5	422	0	6	0	0	1	692	241	0	0	56	0	0	7	1	0	2	876	179	0	1	0	0	0	0	150	0	602	7	4	0	2	6	2	0	0
Otu143	120	42	24	0	2	0	0	0	0	0	0	10	23	0	9	0	0	0	0	0	24	6	0	0	12	8	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0
Otu161	255	80	0	0	0	0	0	10	2	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	13	5	4	0	0	0
Otu11	1031	956	169	0	18	321	38	564	177	3	7	446	787	57	414	129	2	3	1	1	350	114	3	3	1015	454	349	311	310	10	14	432	43	32	89	2136	908	278	3	391	0	787	2	2	140	149	1094	427	9	1
Otu2	4601	1552	3214	11	256	3157	2058	20879	6895	14	27	3901	7103	873	3137	634	12	3	14	10	5486	1751	50	34	5469	4521	141	843	4115	35	13	12391	1897	577	766	6317	1935	113	12	873	1	4291	10	3	4621	4217	4571	1909	5869	10
Otu26	859	331	334	0	35	0	0	853	73	13	0	57	81	19	63	0	3	0	6	2	176	43	1	1	3017	174	5	526	128	0	0	0	1	0	0	28	6	4	0	3	0	146	1	0	326	168	0	0	1	0
Otu12	1166	459	311	0	36	261	118	313	92	0	0	7	1367	0	711	0	3	0	3	0	46	16	4	0	108	1	0	14	0	2	0	1233	65	0	1	229	115	0	1	59	0	488	1	3	852	616	694	183	2	0
Otu17	755	343	374	0	45	923	206	532	127	2	2	14	704	4	413	23	2	4	0	0	849	304	2	0	107	2728	6	12	1558	2	4	1672	214	11	15	695	275	5	0	59	0	171	1	0	220	255	150	79	1	0
Otu51	171	72	315	0	42	43	22	372	65	0	0	8	181	0	68	0	0	0	0	1	61	23	2	0	23	140	7	6	72	1	0	425	70	1	4	128	53	1	0	1	1	23	0	0	233	208	260	60	20	0
Otu64	581	284	8	1	0	0	2	0	0	0	5	492	1025	64	567	186	0	0	3	0	659	236	1	0	6	0	0	2	0	0	0	0	0	0	0	2	1	1	1	0	0	2	0	0	29	20	10	2	2	0
Otu8	958	466	1545	4	208	661	779	19	7	0	0	0	14	0	6	225	0	7	2	0	388	192	15	2	4730	272	385	865	206	1	1	1869	85	14	65	231	38	324	0	67	0	483	0	0	37	12	145	40	1	6
Otu80	590	148	0	0	0	0	0	0	0	0	0	14	4	2	0	0	0	0	0	0	2	0	5	0	416	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	25	7	0	2	0
Otu41	1153	513	278	0	34	2361	615	0	0	0	0	59	0	10	2	0	0	0	0	0	112	29	1	2	132	476	63	19	256	1	6	0	0	1	0	306	73	96	2	0	0	0	5	0	8	2	321	126	4	0
Otu6	2375	1215	3	14	0	3	0	10914	4031	1	5	0	1	0	0	1215	0	0	0	2	48	19	5	0	39	1543	6	13	1146	1	0	453	91	0	0	2	0	4	13	927	6	2756	0	1	81	55	451	251	165	2
Otu47	1791	854	442	0	54	163	38	41	7	9	27	6	23	3	13	45	8	3	4	4	6	1	99	51	50	39	5	9	38	0	3	256	22	1	3	33	16	8	1	1	0	12	9	0	177	56	15	23	17	0
Otu5	462	222	171	14	18	522	138	4405	2577	1	10	328	4	27	0	1178	2	0	0	0	25	3	15	10	3	2562	34	0	2597	0	6	256	23	4412	1182	3225	747	27	0	3	0	21	0	0	8	0	38	8	1516	1
Otu43	682	518	12	0	2	27	7	200	52	0	2	66	208	8	111	60	2	0	0	0	65	34	3	1	151	108	54	24	35	0	0	34	7	146	161	38	19	50	0	3	0	16	0	0	12	6	264	88	2	0
Otu415	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	20	6	0	0	0	0	0	0	0	9	6	0	0	0	0
Otu343	9	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	6	2	0	0	1	0	1	0	0	9	8	6	1	0	0
